timestamp,user_id,ip_address,region,device_type,product_id,event_type,login_status,response_time,anomaly_type
2025-09-09 14:34:14.948143,U009,203.0.113.1,West,Tablet,P050,click,success,0.82,ddos
2025-09-24 13:14:37.948143,U003,203.0.113.1,East,Desktop,P042,purchase,success,1.52,ddos
2025-09-18 19:19:11.948143,U060,160.233.110.144,North,Desktop,P017,purchase,success,0.4,normal
2025-09-19 06:35:11.948143,U170,50.216.246.99,North,Desktop,P027,view,success,1.38,normal
2025-09-12 00:03:11.948143,U097,61.211.121.26,West,Tablet,P018,purchase,success,1.31,normal
2025-09-07 13:51:11.948143,U184,107.89.2.204,South,Mobile,P046,view,success,1.75,normal
2025-09-06 17:16:11.948143,U094,20.195.104.20,South,Mobile,P031,login,success,1.15,normal
2025-10-04 01:47:11.948143,U123,143.42.179.200,West,Tablet,P025,purchase,success,1.16,normal
2025-09-14 05:11:11.948143,U107,183.22.2.57,East,Tablet,P004,view,success,1.5,normal
2025-09-15 18:49:11.948143,U146,47.70.130.61,South,Tablet,P018,purchase,success,0.14,normal
2025-10-01 10:14:11.948143,U051,196.8.48.153,East,Desktop,P038,login,success,0.81,normal
2025-09-23 06:16:11.948143,U170,191.146.29.123,East,Tablet,P023,purchase,success,0.8,normal
2025-09-25 15:51:11.948143,U058,102.229.156.28,North,Tablet,P039,click,success,1.85,normal
2025-09-09 03:29:11.948143,U023,145.234.48.143,South,Tablet,P029,purchase,success,1.61,normal
2025-09-27 22:21:11.948143,U142,206.244.202.104,North,Tablet,P046,login,success,1.12,normal
2025-09-11 00:11:11.948143,U170,160.46.22.56,West,Tablet,P041,view,success,0.33,normal
2025-09-10 06:34:11.948143,U021,183.107.215.98,East,Desktop,P034,login,failed,0.46,normal
2025-09-17 13:03:11.948143,U042,224.46.222.58,South,Desktop,P048,click,success,0.33,normal
2025-09-23 02:07:11.948143,U199,157.87.193.156,South,Tablet,P049,view,success,0.66,normal
2025-09-25 11:24:11.948143,U143,44.204.185.184,West,Tablet,P006,click,success,0.33,normal
2025-09-25 06:58:11.948143,U119,237.127.192.218,West,Desktop,P030,click,success,1.44,normal
2025-09-07 19:14:11.948143,U190,187.18.244.162,North,Desktop,P023,click,success,0.1,normal
2025-09-16 19:04:11.948143,U036,197.47.163.167,East,Mobile,P026,purchase,success,1.15,normal
2025-09-24 07:34:11.948143,U055,225.74.236.217,West,Desktop,P050,login,success,1.77,normal
2025-09-10 02:33:11.948143,U105,95.197.4.94,West,Mobile,P003,click,success,1.0,normal
2025-09-23 20:09:31.948143,U009,203.0.113.1,West,Tablet,P028,view,success,1.32,ddos
2025-09-27 12:14:11.948143,U076,200.52.186.62,West,Tablet,P017,purchase,success,1.78,normal
2025-09-20 04:37:11.948143,U017,211.15.80.84,East,Mobile,P009,view,success,1.18,normal
2025-09-19 09:06:11.948143,U066,167.40.145.240,North,Desktop,P024,login,success,0.15,normal
2025-09-20 13:46:11.948143,U170,162.65.69.83,East,Desktop,P030,login,failed,0.83,normal
2025-10-01 04:50:11.948143,U077,61.2.95.167,West,Tablet,P037,purchase,success,1.12,normal
2025-10-04 13:13:11.948143,U018,79.106.83.247,West,Desktop,P027,click,success,1.28,normal
2025-09-04 19:23:11.948143,U102,90.18.200.52,South,Desktop,P050,purchase,success,1.15,normal
2025-09-07 10:18:11.948143,U010,192.168.0.100,West,Tablet,P023,view,success,1.85,ip_abuse
2025-09-14 02:28:11.948143,U152,101.23.163.203,West,Mobile,P018,click,success,1.98,normal
2025-09-11 21:48:11.948143,U003,157.204.98.231,North,Tablet,P014,purchase,success,0.93,normal
2025-09-29 18:25:11.948143,U032,218.146.210.190,East,Desktop,P008,purchase,success,0.61,normal
2025-09-25 10:07:11.948143,U091,196.185.12.174,East,Mobile,P029,view,success,1.65,normal
2025-09-24 01:57:11.948143,U162,151.40.139.171,West,Desktop,P013,click,success,0.19,normal
2025-10-01 19:36:11.948143,U137,73.81.105.105,East,Tablet,P022,click,success,1.67,normal
2025-10-03 23:44:11.948143,U090,181.232.29.147,North,Mobile,P036,view,success,1.33,normal
2025-09-29 10:36:11.948143,U119,26.30.193.6,South,Desktop,P031,purchase,success,0.55,normal
2025-09-08 21:21:11.948143,U088,140.55.255.128,North,Desktop,P034,view,success,1.57,normal
2025-09-24 03:40:11.948143,U056,51.71.22.40,South,Mobile,P040,login,success,1.58,normal
2025-09-26 18:28:11.948143,U045,120.232.1.92,West,Tablet,P028,view,success,0.99,normal
2025-09-25 04:59:11.948143,U179,84.68.83.69,South,Tablet,P002,purchase,success,1.23,normal
2025-09-29 20:21:11.948143,U085,66.110.235.140,South,Desktop,P013,view,success,1.48,normal
2025-09-30 18:01:11.948143,U118,187.95.160.203,East,Mobile,P005,view,success,1.46,normal
2025-09-07 23:30:11.948143,U020,212.209.171.187,South,Desktop,P008,purchase,success,0.3,normal
2025-09-08 08:26:11.948143,U167,21.174.87.102,South,Mobile,P034,view,success,0.4,normal
2025-09-25 23:37:11.948143,U017,77.188.157.27,North,Mobile,P016,purchase,success,0.61,normal
2025-09-29 16:40:11.948143,U066,51.125.193.151,West,Desktop,P033,view,success,1.8,normal
